row_granularity,persona_id,persona_name,persona_email,persona_age,persona_birth_date,persona_phone_number,persona_memberships,persona_age_group,persona_detailed_age_band,persona_gender,persona_job,persona_residence,persona_is_foreigner,persona_residence_sido,persona_residence_sigungu,persona_child_count,persona_children_age_reference_date,persona_children_json,persona_child_1_label,persona_child_1_birth_date,persona_child_1_exact_age,persona_child_1_school_stage,persona_child_2_label,persona_child_2_birth_date,persona_child_2_exact_age,persona_child_2_school_stage,persona_description,persona_monthly_budget,persona_period,persona_preferred_benefits,eligibility_is_student,eligibility_military_service_target,eligibility_is_business_owner,eligibility_owns_light_car,eligibility_pregnancy_childcare_support,eligibility_welfare_benefit,eligibility_occupation_qualifications,eligibility_telecom_provider,eligibility_primary_transport,eligibility_kpass_user,eligibility_highpass_user,eligibility_preferred_airline,eligibility_primary_shopping_affiliation,eligibility_vehicle_owner,eligibility_has_children,eligibility_children_count,eligibility_child_age_groups,eligibility_verification_status,eligibility_summary,owned_card_count,owned_user_card_ids,owned_card_names,owned_card_usage_roles,transaction_id,approval_number_for_db,usage_month,approved_at,merchant_name,source_category,source_subcategory,payment_category,original_payment_amount,saved_amount,final_approved_amount,source_payment_method,payment_source_type,transaction_status,transaction_memo,no_card_reason,actual_user_card_id,actual_card_id,actual_card_name,actual_card_issuer,actual_card_owner_role,actual_card_usage_role,actual_card_selected_option,actual_card_last4,actual_card_type,actual_card_annual_fee,actual_card_required_previous_spend,actual_card_monthly_total_limit,actual_card_image_url,actual_card_source_url,actual_card_previous_month_spend,actual_card_current_month_spend,actual_card_performance_met,recommended_user_card_id,recommended_card_id,recommended_card_name,recommended_card_issuer,recommended_card_owner_role,recommended_card_usage_role,recommended_card_selected_option,recommended_card_type,recommended_card_annual_fee,recommended_card_required_previous_spend,recommended_card_monthly_total_limit,recommended_card_previous_month_spend,recommended_card_current_month_spend,recommended_card_performance_met,benefit_scenario,picka_usage_stage,actual_benefit_amount,potential_benefit_amount,missed_benefit_amount,missed_benefit_reason,benefit_rate_text,monthly_benefit_cap,cap_remaining_before,cap_remaining_after,benefit_judgement_source,card_benefit_source_id,card_benefit_name,card_benefit_category,card_benefit_category_alias_count,card_benefit_type,card_benefit_unit,card_benefit_value,card_benefit_required_spending,card_benefit_minimum_payment,card_benefit_per_transaction_limit,card_benefit_monthly_limit,card_benefit_condition_text,card_benefit_exception_text,card_benefit_source_summary,card_benefit_source_url,reward_type,reward_program,reward_amount,reward_unit
ONE_TRANSACTION_PER_ROW,persona1,김서연,persona1@picka.app,24,2003-04-13,010-0842-5352,스타벅스 리워드|CJ ONE|대한항공 SKYPASS|네이버플러스 멤버십|신세계포인트,ADULT,,여성,대학생,서울 마포구,False,서울특별시,마포구,0,2026-07-24,[],,,,,,,,,자기관리와 여행을 즐기는 합리적 소비자,1000000,2026-05~2026-07,"온라인쇼핑·배달앱·카페 적립률 높은 카드, 대중교통 할인, 영화 할인 혜택",True,False,False,False,False,False,UNIVERSITY_STUDENT,KT,PUBLIC_TRANSIT,True,False,NONE,OTHER,False,False,0,,VERIFIED,"대학생·대중교통 중심 사용자. KT와 K-패스를 이용하며, 차량·하이패스·육아·복지·항공사 제휴 자격은 해당하지 않음.",3,UC101 | UC102 | UC103,노리2 체크카드(Global) | 청춘대로 톡톡카드 | 디지로카 Travel,노리2 체크카드(Global):생활·편의점·배달·문화 | 청춘대로 톡톡카드:카페·교통·간편결제 | 디지로카 Travel:국내여행·일반적립,hist-persona1-UC102-001,hist-persona1-UC102-001,2026-05,2026-05-02T09:10:00,클래스101 마케팅 강의,교육/육아,교육 및 육아,EDUCATION_CHILDCARE,66100,1700,64400,신용카드,CARD,APPROVED,클래스101 마케팅 강의 결제 · 교육/육아 카테고리,,UC102,129,청춘대로 톡톡카드,KB국민카드,부모님 가족카드,카페·교통·간편결제,,5678,신용카드,,300000,25000.0,,https://www.card-gorilla.com/card/detail/129,404400,472200,Y,UC102,129.0,청춘대로 톡톡카드,KB국민카드,부모님 가족카드,카페·교통·간편결제,,신용카드,,300000.0,25000.0,404400.0,472200.0,Y,BENEFIT_RECEIVED,BENEFIT_APPLIED,1700,1700,0,,50%,10000.0,10000.0,8300.0,SYNTHETIC_RULE_MATCHING_V1,129-01,교육/육아 맞춤 혜택,교육/육아,14,할인,%,50.0,300000.0,,,10000.0,,,PICKA 표준 혜택 카테고리 '교육/육아' 시연 데이터,https://www.card-gorilla.com/card/detail/129,DISCOUNT_APPLIED,청춘대로 톡톡카드 | [Great 서비스] 스타벅스 50% 청구할인,2000.0,KRW
ONE_TRANSACTION_PER_ROW,persona1,김서연,persona1@picka.app,24,2003-04-13,010-0842-5352,스타벅스 리워드|CJ ONE|대한항공 SKYPASS|네이버플러스 멤버십|신세계포인트,ADULT,,여성,대학생,서울 마포구,False,서울특별시,마포구,0,2026-07-24,[],,,,,,,,,자기관리와 여행을 즐기는 합리적 소비자,1000000,2026-05~2026-07,"온라인쇼핑·배달앱·카페 적립률 높은 카드, 대중교통 할인, 영화 할인 혜택",True,False,False,False,False,False,UNIVERSITY_STUDENT,KT,PUBLIC_TRANSIT,True,False,NONE,OTHER,False,False,0,,VERIFIED,"대학생·대중교통 중심 사용자. KT와 K-패스를 이용하며, 차량·하이패스·육아·복지·항공사 제휴 자격은 해당하지 않음.",3,UC101 | UC102 | UC103,노리2 체크카드(Global) | 청춘대로 톡톡카드 | 디지로카 Travel,노리2 체크카드(Global):생활·편의점·배달·문화 | 청춘대로 톡톡카드:카페·교통·간편결제 | 디지로카 Travel:국내여행·일반적립,hist-persona1-UC101-001,hist-persona1-UC101-001,2026-05,2026-05-02T09:10:00,쿠팡,온라인쇼핑,온라인 종합몰,ONLINE_SHOPPING,49600,0,49600,체크카드,CARD,APPROVED,쿠팡 결제 · 온라인쇼핑 카테고리,,UC101,2423,노리2 체크카드(Global),KB국민카드,본인,생활·편의점·배달·문화,,1234,체크카드,,200000,70000.0,,https://www.card-gorilla.com/card/detail/2423,220500,354100,Y,UC102,129.0,청춘대로 톡톡카드,KB국민카드,부모님 가족카드,카페·교통·간편결제,,신용카드,,300000.0,25000.0,404400.0,472200.0,Y,WRONG_CARD_BEFORE_PICKA,BEFORE_PICKA,0,1200,1200,픽카 이용 전 다른 카드를 사용하여 받을 수 있었던 혜택을 놓침,10%,5000.0,,,SYNTHETIC_RULE_MATCHING_V1,129-04,온라인쇼핑 맞춤 혜택,온라인쇼핑,7,할인,%,10.0,300000.0,,,5000.0,,,PICKA 표준 혜택 카테고리 '온라인쇼핑' 시연 데이터,https://www.card-gorilla.com/card/detail/129,MISSED_WRONG_CARD,"청춘대로 톡톡카드 | [Basic 서비스] 대중교통, 택시/이동통신요금 10% 청구할인",1400.0,KRW
ONE_TRANSACTION_PER_ROW,persona1,김서연,persona1@picka.app,24,2003-04-13,010-0842-5352,스타벅스 리워드|CJ ONE|대한항공 SKYPASS|네이버플러스 멤버십|신세계포인트,ADULT,,여성,대학생,서울 마포구,False,서울특별시,마포구,0,2026-07-24,[],,,,,,,,,자기관리와 여행을 즐기는 합리적 소비자,1000000,2026-05~2026-07,"온라인쇼핑·배달앱·카페 적립률 높은 카드, 대중교통 할인, 영화 할인 혜택",True,False,False,False,False,False,UNIVERSITY_STUDENT,KT,PUBLIC_TRANSIT,True,False,NONE,OTHER,False,False,0,,VERIFIED,"대학생·대중교통 중심 사용자. KT와 K-패스를 이용하며, 차량·하이패스·육아·복지·항공사 제휴 자격은 해당하지 않음.",3,UC101 | UC102 | UC103,노리2 체크카드(Global) | 청춘대로 톡톡카드 | 디지로카 Travel,노리2 체크카드(Global):생활·편의점·배달·문화 | 청춘대로 톡톡카드:카페·교통·간편결제 | 디지로카 Travel:국내여행·일반적립,hist-persona1-UC103-001,hist-persona1-UC103-001,2026-05,2026-05-02T09:10:00,스타벅스,카페,카페 및 디저트,CAFE_DESSERT,17300,0,17300,신용카드,CARD,APPROVED,스타벅스 결제 · 카페/디저트 카테고리,,UC103,2863,디지로카 Travel,롯데카드,본인,국내여행·일반적립,,9012,신용카드,,0,100000.0,,https://www.card-gorilla.com/card/detail/2863,92400,123700,Y,UC101,2423.0,노리2 체크카드(Global),KB국민카드,본인,생활·편의점·배달·문화,,체크카드,,200000.0,70000.0,220500.0,354100.0,Y,WRONG_CARD_BEFORE_PICKA,BEFORE_PICKA,0,400,400,픽카 이용 전 다른 카드를 사용하여 받을 수 있었던 혜택을 놓침,2%,5000.0,,,SYNTHETIC_RULE_MATCHING_V1,2423-11,카페/디저트 맞춤 혜택,카페/디저트,45,할인,%,2.0,300000.0,,,5000.0,,,PICKA 표준 혜택 카테고리 '카페/디저트' 시연 데이터,https://www.card-gorilla.com/card/detail/2423,MISSED_WRONG_CARD,노리2 체크카드(Global) | [Global] 해외 가맹점 2% 할인,500.0,KRW
ONE_TRANSACTION_PER_ROW,persona1,김서연,persona1@picka.app,24,2003-04-13,010-0842-5352,스타벅스 리워드|CJ ONE|대한항공 SKYPASS|네이버플러스 멤버십|신세계포인트,ADULT,,여성,대학생,서울 마포구,False,서울특별시,마포구,0,2026-07-24,[],,,,,,,,,자기관리와 여행을 즐기는 합리적 소비자,1000000,2026-05~2026-07,"온라인쇼핑·배달앱·카페 적립률 높은 카드, 대중교통 할인, 영화 할인 혜택",True,False,False,False,False,False,UNIVERSITY_STUDENT,KT,PUBLIC_TRANSIT,True,False,NONE,OTHER,False,False,0,,VERIFIED,"대학생·대중교통 중심 사용자. KT와 K-패스를 이용하며, 차량·하이패스·육아·복지·항공사 제휴 자격은 해당하지 않음.",3,UC101 | UC102 | UC103,노리2 체크카드(Global) | 청춘대로 톡톡카드 | 디지로카 Travel,노리2 체크카드(Global):생활·편의점·배달·문화 | 청춘대로 톡톡카드:카페·교통·간편결제 | 디지로카 Travel:국내여행·일반적립,hist-persona1-UC102-002,hist-persona1-UC102-002,2026-05,2026-05-05T12:40:00,네이버페이,간편결제,온라인 간편결제,EASY_PAY,52000,2800,49200,신용카드,CARD,APPROVED,네이버페이 결제 · 간편결제 카테고리,,UC102,129,청춘대로 톡톡카드,KB국민카드,부모님 가족카드,카페·교통·간편결제,,5678,신용카드,,300000,25000.0,,https://www.card-gorilla.com/card/detail/129,404400,472200,Y,UC102,129.0,청춘대로 톡톡카드,KB국민카드,부모님 가족카드,카페·교통·간편결제,,신용카드,,300000.0,25000.0,404400.0,472200.0,Y,BENEFIT_RECEIVED,BENEFIT_APPLIED,2800,2800,0,,10%,5000.0,5000.0,2200.0,SYNTHETIC_RULE_MATCHING_V1,129-03,간편결제 맞춤 혜택,간편결제,45,할인,%,10.0,300000.0,,,5000.0,,,PICKA 표준 혜택 카테고리 '간편결제' 시연 데이터,https://www.card-gorilla.com/card/detail/129,DISCOUNT_APPLIED,청춘대로 톡톡카드 | [Check 서비스] 간편결제(Pay) 10% 청구할인,3300.0,KRW
ONE_TRANSACTION_PER_ROW,persona1,김서연,persona1@picka.app,24,2003-04-13,010-0842-5352,스타벅스 리워드|CJ ONE|대한항공 SKYPASS|네이버플러스 멤버십|신세계포인트,ADULT,,여성,대학생,서울 마포구,False,서울특별시,마포구,0,2026-07-24,[],,,,,,,,,자기관리와 여행을 즐기는 합리적 소비자,1000000,2026-05~2026-07,"온라인쇼핑·배달앱·카페 적립률 높은 카드, 대중교통 할인, 영화 할인 혜택",True,False,False,False,False,False,UNIVERSITY_STUDENT,KT,PUBLIC_TRANSIT,True,False,NONE,OTHER,False,False,0,,VERIFIED,"대학생·대중교통 중심 사용자. KT와 K-패스를 이용하며, 차량·하이패스·육아·복지·항공사 제휴 자격은 해당하지 않음.",3,UC101 | UC102 | UC103,노리2 체크카드(Global) | 청춘대로 톡톡카드 | 디지로카 Travel,노리2 체크카드(Global):생활·편의점·배달·문화 | 청춘대로 톡톡카드:카페·교통·간편결제 | 디지로카 Travel:국내여행·일반적립,hist-persona1-UC101-002,hist-persona1-UC101-002,2026-05,2026-05-05T12:40:00,배달의민족,배달,배달앱,DELIVERY,38900,1000,37900,체크카드,CARD,APPROVED,배달의민족 결제 · 배달앱 카테고리,,UC101,2423,노리2 체크카드(Global),KB국민카드,본인,생활·편의점·배달·문화,,1234,체크카드,,200000,70000.0,,https://www.card-gorilla.com/card/detail/2423,220500,354100,Y,UC101,2423.0,노리2 체크카드(Global),KB국민카드,본인,생활·편의점·배달·문화,,체크카드,,200000.0,70000.0,220500.0,354100.0,Y,BENEFIT_RECEIVED,BENEFIT_APPLIED,1000,2400,1400,,1000원,1000.0,1000.0,0.0,SYNTHETIC_RULE_MATCHING_V1,2423-07,배달앱 맞춤 혜택,배달앱,19,할인,원,1000.0,200000.0,,,1000.0,,,PICKA 표준 혜택 카테고리 '배달앱' 시연 데이터,https://www.card-gorilla.com/card/detail/2423,DISCOUNT_APPLIED,"노리2 체크카드(Global) | [일상] 배달의 민족, 요기요 1,000원 할인",2400.0,KRW
ONE_TRANSACTION_PER_ROW,persona1,김서연,persona1@picka.app,24,2003-04-13,010-0842-5352,스타벅스 리워드|CJ ONE|대한항공 SKYPASS|네이버플러스 멤버십|신세계포인트,ADULT,,여성,대학생,서울 마포구,False,서울특별시,마포구,0,2026-07-24,[],,,,,,,,,자기관리와 여행을 즐기는 합리적 소비자,1000000,2026-05~2026-07,"온라인쇼핑·배달앱·카페 적립률 높은 카드, 대중교통 할인, 영화 할인 혜택",True,False,False,False,False,False,UNIVERSITY_STUDENT,KT,PUBLIC_TRANSIT,True,False,NONE,OTHER,False,False,0,,VERIFIED,"대학생·대중교통 중심 사용자. KT와 K-패스를 이용하며, 차량·하이패스·육아·복지·항공사 제휴 자격은 해당하지 않음.",3,UC101 | UC102 | UC103,노리2 체크카드(Global) | 청춘대로 톡톡카드 | 디지로카 Travel,노리2 체크카드(Global):생활·편의점·배달·문화 | 청춘대로 톡톡카드:카페·교통·간편결제 | 디지로카 Travel:국내여행·일반적립,hist-persona1-UC103-002,hist-persona1-UC103-002,2026-05,2026-05-05T12:40:00,티머니,교통,대중교통·택시,TRANSIT,13700,0,13700,신용카드,CARD,APPROVED,티머니 결제 · 교통 카테고리,,UC103,2863,디지로카 Travel,롯데카드,본인,국내여행·일반적립,,9012,신용카드,,0,100000.0,,https://www.card-gorilla.com/card/detail/2863,92400,123700,Y,,,,,,,,,,,,,,,NO_ELIGIBLE_BENEFIT,BEFORE_PICKA,0,0,0,,,,,,SYNTHETIC_RULE_MATCHING_V1,,교통 맞춤 혜택,교통,20,,,,,,,,,,PICKA 표준 혜택 카테고리 '교통' 시연 데이터,,,,,
ONE_TRANSACTION_PER_ROW,persona1,김서연,persona1@picka.app,24,2003-04-13,010-0842-5352,스타벅스 리워드|CJ ONE|대한항공 SKYPASS|네이버플러스 멤버십|신세계포인트,ADULT,,여성,대학생,서울 마포구,False,서울특별시,마포구,0,2026-07-24,[],,,,,,,,,자기관리와 여행을 즐기는 합리적 소비자,1000000,2026-05~2026-07,"온라인쇼핑·배달앱·카페 적립률 높은 카드, 대중교통 할인, 영화 할인 혜택",True,False,False,False,False,False,UNIVERSITY_STUDENT,KT,PUBLIC_TRANSIT,True,False,NONE,OTHER,False,False,0,,VERIFIED,"대학생·대중교통 중심 사용자. KT와 K-패스를 이용하며, 차량·하이패스·육아·복지·항공사 제휴 자격은 해당하지 않음.",3,UC101 | UC102 | UC103,노리2 체크카드(Global) | 청춘대로 톡톡카드 | 디지로카 Travel,노리2 체크카드(Global):생활·편의점·배달·문화 | 청춘대로 톡톡카드:카페·교통·간편결제 | 디지로카 Travel:국내여행·일반적립,hist-persona1-UC102-003,hist-persona1-UC102-003,2026-05,2026-05-09T18:20:00,한국전력공사,공과금,생활요금,UTILITIES,75600,1900,73700,신용카드,CARD,APPROVED,한국전력공사 결제 · 공과금/생활요금 카테고리,,UC102,129,청춘대로 톡톡카드,KB국민카드,부모님 가족카드,카페·교통·간편결제,,5678,신용카드,,300000,25000.0,,https://www.card-gorilla.com/card/detail/129,404400,472200,Y,UC102,129.0,청춘대로 톡톡카드,KB국민카드,부모님 가족카드,카페·교통·간편결제,,신용카드,,300000.0,25000.0,404400.0,472200.0,Y,BENEFIT_RECEIVED,BENEFIT_APPLIED,1900,1900,0,,10%,5000.0,5000.0,3100.0,SYNTHETIC_RULE_MATCHING_V1,129-04,공과금/생활요금 맞춤 혜택,공과금/생활요금,3,할인,%,10.0,300000.0,,,5000.0,,,PICKA 표준 혜택 카테고리 '공과금/생활요금' 시연 데이터,https://www.card-gorilla.com/card/detail/129,DISCOUNT_APPLIED,"청춘대로 톡톡카드 | [Basic 서비스] 대중교통, 택시/이동통신요금 10% 청구할인",2300.0,KRW
ONE_TRANSACTION_PER_ROW,persona1,김서연,persona1@picka.app,24,2003-04-13,010-0842-5352,스타벅스 리워드|CJ ONE|대한항공 SKYPASS|네이버플러스 멤버십|신세계포인트,ADULT,,여성,대학생,서울 마포구,False,서울특별시,마포구,0,2026-07-24,[],,,,,,,,,자기관리와 여행을 즐기는 합리적 소비자,1000000,2026-05~2026-07,"온라인쇼핑·배달앱·카페 적립률 높은 카드, 대중교통 할인, 영화 할인 혜택",True,False,False,False,False,False,UNIVERSITY_STUDENT,KT,PUBLIC_TRANSIT,True,False,NONE,OTHER,False,False,0,,VERIFIED,"대학생·대중교통 중심 사용자. KT와 K-패스를 이용하며, 차량·하이패스·육아·복지·항공사 제휴 자격은 해당하지 않음.",3,UC101 | UC102 | UC103,노리2 체크카드(Global) | 청춘대로 톡톡카드 | 디지로카 Travel,노리2 체크카드(Global):생활·편의점·배달·문화 | 청춘대로 톡톡카드:카페·교통·간편결제 | 디지로카 Travel:국내여행·일반적립,hist-persona1-UC101-003,hist-persona1-UC101-003,2026-05,2026-05-09T18:20:00,올리브영,뷰티/피트니스,뷰티 및 운동,BEAUTY_FITNESS,56600,1300,55300,체크카드,CARD,APPROVED,올리브영 결제 · 뷰티/피트니스 카테고리,,UC101,2423,노리2 체크카드(Global),KB국민카드,본인,생활·편의점·배달·문화,,1234,체크카드,,200000,70000.0,,https://www.card-gorilla.com/card/detail/2423,220500,354100,Y,UC101,2423.0,노리2 체크카드(Global),KB국민카드,본인,생활·편의점·배달·문화,,체크카드,,200000.0,70000.0,220500.0,354100.0,Y,BENEFIT_RECEIVED,BENEFIT_APPLIED,1300,1300,0,,5%,2000.0,2000.0,700.0,SYNTHETIC_RULE_MATCHING_V1,2423-04,뷰티/피트니스 맞춤 혜택,뷰티/피트니스,19,할인,%,5.0,200000.0,,,2000.0,,,PICKA 표준 혜택 카테고리 '뷰티/피트니스' 시연 데이터,https://www.card-gorilla.com/card/detail/2423,DISCOUNT_APPLIED,"노리2 체크카드(Global) | [일상] 올리브영, 미용실 업종 5% 할인",1600.0,KRW
ONE_TRANSACTION_PER_ROW,persona1,김서연,persona1@picka.app,24,2003-04-13,010-0842-5352,스타벅스 리워드|CJ ONE|대한항공 SKYPASS|네이버플러스 멤버십|신세계포인트,ADULT,,여성,대학생,서울 마포구,False,서울특별시,마포구,0,2026-07-24,[],,,,,,,,,자기관리와 여행을 즐기는 합리적 소비자,1000000,2026-05~2026-07,"온라인쇼핑·배달앱·카페 적립률 높은 카드, 대중교통 할인, 영화 할인 혜택",True,False,False,False,False,False,UNIVERSITY_STUDENT,KT,PUBLIC_TRANSIT,True,False,NONE,OTHER,False,False,0,,VERIFIED,"대학생·대중교통 중심 사용자. KT와 K-패스를 이용하며, 차량·하이패스·육아·복지·항공사 제휴 자격은 해당하지 않음.",3,UC101 | UC102 | UC103,노리2 체크카드(Global) | 청춘대로 톡톡카드 | 디지로카 Travel,노리2 체크카드(Global):생활·편의점·배달·문화 | 청춘대로 톡톡카드:카페·교통·간편결제 | 디지로카 Travel:국내여행·일반적립,hist-persona1-UC103-003,hist-persona1-UC103-003,2026-05,2026-05-09T18:20:00,카카오 T,교통,대중교통·택시,TRANSIT,19800,0,19800,신용카드,CARD,APPROVED,카카오 T 결제 · 교통 카테고리,,UC103,2863,디지로카 Travel,롯데카드,본인,국내여행·일반적립,,9012,신용카드,,0,100000.0,,https://www.card-gorilla.com/card/detail/2863,92400,123700,Y,,,,,,,,,,,,,,,NO_ELIGIBLE_BENEFIT,BEFORE_PICKA,0,0,0,,,,,,SYNTHETIC_RULE_MATCHING_V1,,교통 맞춤 혜택,교통,20,,,,,,,,,,PICKA 표준 혜택 카테고리 '교통' 시연 데이터,,,,,
ONE_TRANSACTION_PER_ROW,persona1,김서연,persona1@picka.app,24,2003-04-13,010-0842-5352,스타벅스 리워드|CJ ONE|대한항공 SKYPASS|네이버플러스 멤버십|신세계포인트,ADULT,,여성,대학생,서울 마포구,False,서울특별시,마포구,0,2026-07-24,[],,,,,,,,,자기관리와 여행을 즐기는 합리적 소비자,1000000,2026-05~2026-07,"온라인쇼핑·배달앱·카페 적립률 높은 카드, 대중교통 할인, 영화 할인 혜택",True,False,False,False,False,False,UNIVERSITY_STUDENT,KT,PUBLIC_TRANSIT,True,False,NONE,OTHER,False,False,0,,VERIFIED,"대학생·대중교통 중심 사용자. KT와 K-패스를 이용하며, 차량·하이패스·육아·복지·항공사 제휴 자격은 해당하지 않음.",3,UC101 | UC102 | UC103,노리2 체크카드(Global) | 청춘대로 톡톡카드 | 디지로카 Travel,노리2 체크카드(Global):생활·편의점·배달·문화 | 청춘대로 톡톡카드:카페·교통·간편결제 | 디지로카 Travel:국내여행·일반적립,hist-persona1-UC102-004,hist-persona1-UC102-004,2026-05,2026-05-12T21:15:00,한식당,외식,음식점,FOOD_DINING,42500,1000,41500,신용카드,CARD,APPROVED,한식당 결제 · 푸드/외식 카테고리,,UC102,129,청춘대로 톡톡카드,KB국민카드,부모님 가족카드,카페·교통·간편결제,,5678,신용카드,,300000,25000.0,,https://www.card-gorilla.com/card/detail/129,404400,472200,Y,UC102,129.0,청춘대로 톡톡카드,KB국민카드,부모님 가족카드,카페·교통·간편결제,,신용카드,,300000.0,25000.0,404400.0,472200.0,Y,BENEFIT_RECEIVED,BENEFIT_APPLIED,1000,1000,0,,20%,5000.0,5000.0,4000.0,SYNTHETIC_RULE_MATCHING_V1,129-02,푸드/외식 맞춤 혜택,푸드/외식,57,할인,%,20.0,300000.0,,,5000.0,,,PICKA 표준 혜택 카테고리 '푸드/외식' 시연 데이터,https://www.card-gorilla.com/card/detail/129,DISCOUNT_APPLIED,청춘대로 톡톡카드 | [Enjoy 서비스] 버거/패스트푸드 업종 20% 청구할인,1200.0,KRW
